,Model,Time taken,Optimal Parameters,Accuracy,Precision,Recall,F1,ROC-AUC
0,tabnet,85.32463908195496,"{'gamma': 1.0, 'lambda_sparse': 0, 'momentum': 0.4, 'n_steps': 8, 'optimizer_params': {'lr': 0.025}, 'verbose': 0}",0.9114669178243466,0.9233654876741694,0.880879345603272,0.901622187336473,0.9092305937968346
1,svm,11.380882024765015,"{'C': 1000, 'gamma': 1}",0.928890981869555,0.9126746506986028,0.9350715746421268,0.9237373737373737,0.9293428584690336
2,xgboost,3.193453311920166,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 1000}",0.9399576171415116,0.9306329113924051,0.9396728016359919,0.9351310099211396,0.9399367936595499
3,mlp,6.47638201713562,"{'input_dim': 12, 'H': 60, 'activation': 'relu', 'dropout_probability': 0.2, 'num_epochs': 75, 'num_layers': 10}",0.8697904403108077,0.8979013045944413,0.8093047034764826,0.8513041140091422,0.8653681963475822
4,stacking,557.1182434558868,,0.9373675535672239,0.9267676767676768,0.9381390593047034,0.9324186991869918,0.9374239600320986
